session,subj,CDL_name,sex,breed,neutering_status,birth_date,test_date,block,condition,trial_num,Age,first_arm,sec_arm,third_arm,fourth_arm,fifth_arm,sixth_arm,sevth_arm,eigth_arm,first_error_position,return_to_arm,Lag_from_last_choice,adjacent_arms,total_mistakes
1,subj.26,Gandalf,m,Podenco,yes,15.07.2014,06.02.2023,2,forced,1,102,4,1,7,2,3,4,6,8,6,1,5,2,1
1,subj.26,Gandalf,m,Podenco,yes,15.07.2014,06.02.2023,2,forced,2,102,2,6,4,2,5,6,7,8,4,1,3,3,2
1,subj.26,Gandalf,m,Podenco,yes,15.07.2014,06.02.2023,2,forced,3,102,7,3,2,1,5,6,7,1,7,1,6,2,2
1,subj.27,Monty,m,Whippet,no,05.04.2022,06.02.2023,1,self-ordered,1,10,1,3,2,5,6,7,1,2,7,1,6,2,2
1,subj.27,Monty,m,Whippet,no,05.04.2022,06.02.2023,1,self-ordered,2,10,6,5,4,3,2,1,8,7,#N/A,#N/A,#N/A,7,0
1,subj.27,Monty,m,Whippet,no,05.04.2022,06.02.2023,1,self-ordered,3,10,2,1,8,7,5,3,2,1,7,1,6,3,2
1,subj.27,Monty,m,Whippet,no,05.04.2022,06.02.2023,2,forced,1,10,2,5,3,2,4,6,7,8,4,1,3,2,1
1,subj.27,Monty,m,Whippet,no,05.04.2022,06.02.2023,2,forced,2,10,6,3,5,7,8,1,2,3,8,2,6,4,1
1,subj.27,Monty,m,Whippet,no,05.04.2022,06.02.2023,2,forced,3,10,7,1,6,8,2,4,5,6,8,3,5,2,1
1,subj.28,Timo2,m,Mix(Siberian Husky),no,01.09.2019,09.02.2023,1,forced,1,41,5,1,7,5,3,2,4,6,4,1,3,1,1
1,subj.28,Timo2,m,Mix(Siberian Husky),no,01.09.2019,09.02.2023,1,forced,2,41,8,3,1,2,3,2,4,6,5,2,3,2,2
1,subj.28,Timo2,m,Mix(Siberian Husky),no,01.09.2019,09.02.2023,1,forced,3,41,4,2,1,3,5,7,5,3,7,5,2,1,2
1,subj.28,Timo2,m,Mix(Siberian Husky),no,01.09.2019,09.02.2023,2,self-ordered,1,41,5,6,5,3,2,1,7,5,3,1,2,2,2
1,subj.28,Timo2,m,Mix(Siberian Husky),no,01.09.2019,09.02.2023,2,self-ordered,2,41,3,5,6,4,3,1,8,7,5,1,4,2,1
1,subj.28,Timo2,m,Mix(Siberian Husky),no,01.09.2019,09.02.2023,2,self-ordered,3,41,2,4,5,3,2,1,6,5,5,1,4,2,2
1,subj. 29,Diego6,m,Border Terrier,no,09.09.2017,09.02.2023,1,forced,1,65,7,4,2,5,6,3,1,7,8,1,7,1,1
1,subj. 29,Diego6,m,Border Terrier,no,09.09.2017,09.02.2023,1,forced,2,65,2,5,3,2,1,7,5,4,4,1,3,2,2
1,subj. 29,Diego6,m,Border Terrier,no,09.09.2017,09.02.2023,1,forced,3,65,3,8,2,5,6,7,2,1,7,3,4,2,1
1,subj. 29,Diego6,m,Border Terrier,no,09.09.2017,09.02.2023,2,self-ordered,1,65,5,7,1,7,3,1,8,2,4,2,2,1,2
1,subj. 29,Diego6,m,Border Terrier,no,09.09.2017,09.02.2023,2,self-ordered,2,65,4,5,6,8,2,3,7,1,#N/A,#N/A,#N/A,2,0
1,subj. 29,Diego6,m,Border Terrier,no,09.09.2017,09.02.2023,2,self-ordered,3,65,3,5,7,1,2,8,1,3,7,4,3,1,2
1,subj.31,Freeda,f,Kokoni,yes,25.12.2021,09.02.2023,1,forced,1,13,3,6,5,1,2,5,4,3,6,3,3,2,2
1,subj.31,Freeda,f,Kokoni,yes,25.12.2021,09.02.2023,1,forced,2,13,2,4,1,6,5,1,2,6,6,3,3,1,3
1,subj.31,Freeda,f,Kokoni,yes,25.12.2021,09.02.2023,1,forced,3,13,7,5,3,5,1,2,3,2,4,2,2,2,3
1,subj.31,Freeda,f,Kokoni,yes,25.12.2021,09.02.2023,2,self-ordered,1,13,1,3,1,6,4,2,1,3,3,1,2,1,3
